"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",4,0.207757912853486,0.336294433847454,0.22195871919003,0.178132157714816,0.0558567763942146,0.386226927517168,0,1
"Fp1",4,0.200827263539473,0.329648583454045,0.229083954136709,0.18341973392507,0.0570204649447032,0.29507403663906,0,1
"F8",4,0.197651610257692,0.323077465518201,0.221078067040381,0.196289023214135,0.061903833969591,0.153130938480379,0,1
"F7",4,0.181323957956856,0.303526830616651,0.225800804816322,0.220104943310344,0.0692434632998278,0.0989954744403932,0,1
"F4",4,0.199668993207797,0.331468708215875,0.233188617073532,0.182914791801831,0.0527588897009658,0.191093645317888,0,1
"F3",4,0.188925837212524,0.318538130771607,0.238075288444449,0.19770524848098,0.0567554950904398,0.16506842925507,0,1
"T4",4,0.142143458765456,0.251499942562024,0.223375145986944,0.285951871033978,0.0970295816515976,0.0280365504908714,0,1
"T3",4,0.129742780449947,0.231163711837969,0.212592807724488,0.308711332044154,0.117789367943441,0.0354472609159834,0,1
"C4",4,0.163801209371725,0.286833380870113,0.24873676372003,0.234684019297452,0.0659446267406806,0.0615537057049739,0,1
"C3",4,0.146488384387838,0.261353375011703,0.238199668260686,0.274932585098718,0.0790259872410555,0.0543316863652954,0,1
"T6",4,0.101122647146874,0.188280463168957,0.195135731526392,0.356216483322638,0.159244674835139,0.0118562861697007,0,1
"T5",4,0.0893303572169633,0.169405358630096,0.182678852276753,0.375637113277365,0.182948318598823,0.0158346568996545,0,1
"P4",4,0.134153666528455,0.242585681465157,0.230839139239042,0.300233949472189,0.0921875632951564,0.0315538571239908,0,1
"P3",4,0.124258612436539,0.227516984800912,0.223247188424824,0.322494255570997,0.102482958766728,0.0309829351370396,0,1
"O2",4,0.113662144439799,0.207678391198833,0.206304163789082,0.336478210005387,0.135877090566899,0.0216367225957823,0,1
"O1",4,0.0927011620376318,0.174396135086392,0.185898901644341,0.367946109850072,0.179057691381564,0.018133194072482,0,1
"FZ",4,0.197859887755692,0.329351352063992,0.233082506065416,0.185365169496573,0.0543410846183276,0.226565729229099,0,1
"CZ",4,0.146532404680366,0.261593124867668,0.237964167982889,0.270228235658055,0.0836820668110215,0.0853369989253866,0,1
"PZ",4,0.137517887415005,0.24818711104364,0.233995104534814,0.294471478109508,0.085828418897032,0.0693342753173618,0,1
"LOG",4,0.244510517101942,0.380938613710578,0.214249309765944,0.131111454502572,0.029190104918964,1.29748356316476,0,1
"ROG",4,0.243144835914076,0.376358660336016,0.208063943938882,0.139923482731934,0.0325090770790924,1.18610472560353,0,1
"EMG",4,NA,NA,NA,NA,NA,NA,0,1
"Fp2",4,0.191774599145655,0.323284629985067,0.249726213953952,0.194960752272098,0.0402538046432268,0.181864073082815,0,0
"Fp1",4,0.22248629933582,0.364891268615855,0.241838013416457,0.141175734100299,0.0296086845315686,0.275657754124546,0,0
"F8",4,0.171008757449294,0.298674045544418,0.251730255863788,0.230674925687081,0.0479120154554197,0.0508961137446705,0,0
"F7",4,0.286234704075725,0.422477909624104,0.179407601587319,0.0920501773941554,0.0198296073186962,0.612800680083636,0,0
"F4",4,0.20807996745708,0.348098174061837,0.243525188615852,0.167715783501809,0.0325808863634219,0.199272233232651,0,0
"F3",4,0.293754730013233,0.430497561844974,0.181040184205075,0.0784898208271837,0.016217703109535,1.14256831917181,0,0
"T4",4,0.151448800241312,0.270444480964617,0.247938445926099,0.266398647056011,0.0637696258119612,0.0353714810663508,0,0
"T3",4,0.241874414240264,0.376121305061603,0.199741956591749,0.143661252897449,0.0386010712089354,0.326135334270358,0,0
"C4",4,0.195983368710828,0.331547442498293,0.247101578567057,0.188486982423151,0.03688062780067,0.185381651035029,0,0
"C3",4,0.208174573214669,0.347488407747973,0.237635451299371,0.171296856620285,0.0354047111177019,0.268956657468435,0,0
"T6",4,0.140323703103477,0.249857399091617,0.22698779899633,0.291882022187189,0.090949076621387,0.0420194012977589,0,0
"T5",4,0.137864891857712,0.245413972280891,0.22652871953481,0.293419763034647,0.0967726532919395,0.0526933040158189,0,0
"P4",4,0.203310071813378,0.338178378937577,0.238030094127897,0.183013535879307,0.0374679192418412,0.182110002243852,0,0
"P3",4,0.207605322823075,0.342506972717481,0.234239721669219,0.176756267616353,0.0388917151738711,0.212037218663277,0,0
"O2",4,0.202956012135066,0.335995655638266,0.229331808589638,0.1829787458998,0.0487377777372297,0.152058273719485,0,0
"O1",4,0.175996198954239,0.29672974572749,0.224110560937485,0.226087510757872,0.0770759836229136,0.11573374584871,0,0
"FZ",4,0.243635122982181,0.387180815129006,0.221434369194148,0.124043387791832,0.0237063049028329,0.453432430076773,0,0
"CZ",4,0.158746688124102,0.280360096243157,0.249128561505823,0.252885987833956,0.058878666292961,0.15016034044239,0,0
"PZ",4,0.292113117985487,0.420325577980187,0.178640528267067,0.0913491309921701,0.0175716447750888,1.81091486977521,0,0
"LOG",4,0.190173379243198,0.323403130570696,0.255445569200632,0.198031895148801,0.0329460258366729,0.121936695161028,0,0
"ROG",4,0.193951484071748,0.327048780795762,0.25233249443811,0.194614830722586,0.0320524099717933,0.0887029130483253,0,0
"EMG",4,NA,NA,NA,NA,NA,NA,0,0
