"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",5,0.00305340624915787,0.00543049607126424,0.00386007432766909,0.00541510309673691,0.00469332373331826,1.16879224034325,0,1
"Fp1",5,0.00318009586554954,0.00556420165696584,0.0039356934123152,0.0054764147190726,0.00445376543614053,0.946849715502862,0,1
"F8",5,0.00259440864933029,0.00466283847300875,0.00402529951159841,0.00615610644466406,0.00563534845116323,0.207986770838397,0,1
"F7",5,0.00285370051097369,0.00513166307688973,0.00421143132532335,0.00611164963268665,0.0045667568881419,0.272201501410944,0,1
"F4",5,0.00232010176210988,0.00421273497220149,0.00409455040553619,0.00654402987935328,0.00645934550816295,0.212541391827938,0,1
"F3",5,0.00248770245724387,0.00452898027981669,0.00429282921185428,0.00676974612620089,0.00559791492143287,0.215154887399137,0,1
"T4",5,0.00241707697811239,0.00450610908536751,0.0046229934630147,0.00796282199875071,0.00432469182453325,0.0580359141512302,0,1
"T3",5,0.00245866614788821,0.00457149916993473,0.00453837830888042,0.00792907909081055,0.00429480946099619,0.0720525175207959,0,1
"C4",5,0.00249628192273108,0.00462639593476185,0.0046965345303366,0.00797560609222713,0.00436333524603177,0.179949386806121,0,1
"C3",5,0.0024651155710613,0.0045647563864365,0.00463655470498506,0.00804673400695696,0.00457980397188409,0.170075672771489,0,1
"T6",5,0.00247613076804901,0.00464316455725166,0.00483106901947638,0.00866506226989986,0.00375766083293784,0.0686224881726237,0,1
"T5",5,0.0022617906511103,0.00427194575857929,0.00454544126303412,0.00878388677026226,0.004488401543421,0.0552617720773524,0,1
"P4",5,0.00238790703756718,0.00447112490472398,0.004638472016932,0.00847552596504265,0.0042655264131795,0.130523761897713,0,1
"P3",5,0.00248678906726484,0.00461145770068588,0.00471506970614301,0.00830230326415478,0.0041523010924531,0.129228586291242,0,1
"O2",5,0.00258568831997616,0.00483247267184562,0.00498208422820448,0.00854659973478062,0.00341752531150535,0.106112779345714,0,1
"O1",5,0.00249807317274591,0.00465638603204179,0.00482357148176061,0.00857511984366763,0.00388090756997329,0.0900776421414268,0,1
"FZ",5,0.00253265338675805,0.00462382231090858,0.00452636065935244,0.00718305260443657,0.00523646581548047,0.241277467254244,0,1
"CZ",5,0.00259838687944099,0.00478787640429154,0.00479695502274094,0.0076903652792331,0.00430874303284857,0.275682733963842,0,1
"PZ",5,0.00252461941771878,0.00468969515821629,0.00478329573691879,0.00821423166100198,0.00398698083726317,0.168151602427529,0,1
"LOG",5,0.00356283749270205,0.00621107251989244,0.00410645671542376,0.00538648446017308,0.00292330218204921,2.59481127646443,0,1
"ROG",5,0.00374316589861925,0.00639122103629224,0.00417437906971967,0.00520229363199964,0.00267962481277436,1.78914487481794,0,1
"EMG",5,0.00259377025782627,0.00468983445836284,0.00386004217120892,0.00557861765523156,0.00581171403200951,0.00307105636120479,0,1
"Fp2",5,0.00739790502043781,0.013051899970792,0.0117084642703783,0.0139564953814642,0.00779035946092141,0.412129503404247,0,0
"Fp1",5,0.00734411438415875,0.0129847788781303,0.0114590873336537,0.0143348676428729,0.00746387614264543,0.45667542784955,0,0
"F8",5,0.00593640575764897,0.0109539289161714,0.0108663399575607,0.0170912689749436,0.00930733079044756,0.132291995601607,0,0
"F7",5,0.00626746662114149,0.011552108080817,0.0114046166880697,0.017098502772909,0.0080555468747938,0.163433973223351,0,0
"F4",5,0.00588303837545736,0.0108291747950115,0.0107574609489062,0.0167106361212879,0.00966053859555672,0.281095580169173,0,0
"F3",5,0.00651102161372519,0.0118329776605587,0.0114235858675547,0.0162723648008892,0.00830008865559216,0.36392384582156,0,0
"T4",5,0.00578004549303501,0.0108863251601384,0.0112682602115114,0.0190111989096204,0.00780209946666758,0.0721604832837459,0,0
"T3",5,0.00578737943781954,0.0108669125173611,0.0112210778979885,0.0187900462023103,0.00783103656134307,0.0791969527886483,0,0
"C4",5,0.00633834747965963,0.0116917082146557,0.0116062649018738,0.017379853334233,0.0076545118549716,0.30554795643414,0,0
"C3",5,0.00639179737950013,0.0117628408375932,0.0116473335781718,0.0173029813410434,0.00764066738777588,0.293091182439112,0,0
"T6",5,0.00607339465226354,0.0113834227304088,0.0115751991921827,0.018902680852661,0.00698760633183999,0.0960740376356662,0,0
"T5",5,0.00572406959511496,0.0107922671715757,0.0111552498139507,0.0191543607108166,0.00778328717495379,0.0832668025084359,0,0
"P4",5,0.00591387278761147,0.0110573655307745,0.011339521868161,0.018404634737057,0.0077367093362157,0.207273760183466,0,0
"P3",5,0.00603902379471227,0.0112595288979734,0.0113969946020835,0.018268743056909,0.00761519686059818,0.203053046911918,0,0
"O2",5,0.0062354663184068,0.0116436942645096,0.0117332689568257,0.0185212932861313,0.00657219904172176,0.142429639864765,0,0
"O1",5,0.00610043213331494,0.0113945826557495,0.0115390670384461,0.0185993423696691,0.00711964563688223,0.12138985482215,0,0
"FZ",5,0.0068342016661957,0.012325277204931,0.0117094346109421,0.0158677570827493,0.00778246568811527,0.472186108181567,0,0
"CZ",5,0.00706272685687653,0.0127449501081267,0.0120239590889229,0.0160453806164676,0.00701847901065203,0.532483557886286,0,0
