"Participante","Canal","EpocaMOR","NumEpoca","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa","Indice"
2,"Fp2",0,0,0.216446481656842,0.36947207494955,0.288085761188039,0.115973637133552,0.0100220450720172,0.344655180344446,0,0,1
2,"Fp2",0,0,0.230408948734987,0.375572761189199,0.282674672115375,0.100656928252703,0.0106866897077361,0.36837465425994,0,0,2
2,"Fp2",0,0,0.305440326223474,0.474219039340406,0.18778591478592,0.028626452688048,0.00392826696215204,1.58049118430604,0,0,3
2,"Fp2",0,0,0.239774987915325,0.406730100510389,0.268323173756013,0.0810249766856208,0.00414676113265224,1.25650808297612,0,0,4
2,"Fp2",0,0,0.166582544483302,0.293056278732955,0.266353648377414,0.263261473859236,0.0107460545470934,0.21513381412326,0,0,5
2,"Fp2",0,0,0.222736365247213,0.384571889872794,0.285777248318677,0.0996983730313959,0.00721612352991944,0.426316074244159,0,0,6
2,"Fp2",0,0,0.238330653594968,0.401188551477692,0.267886306925091,0.086537470569871,0.00605701743237717,0.549353522133341,0,0,7
2,"Fp2",0,0,0.286932381044962,0.444114918838024,0.225489355487193,0.0393174170360303,0.00414592759379088,1.23747482117718,0,0,8
2,"Fp2",0,0,0.27651923777862,0.432448609143701,0.236821099680098,0.0484106789334072,0.0058003744641737,1.06769826896197,0,0,9
2,"Fp2",0,0,0.212671771725877,0.362455055461722,0.282043706863622,0.133303536737618,0.00952592921116104,0.335895138690681,0,0,10
2,"Fp2",0,0,0.17729096040022,0.316214018601438,0.278610680849411,0.209304831732547,0.0185795084163845,0.171366858662789,0,0,11
2,"Fp2",0,0,0.192169605055467,0.338971615903296,0.289316182350684,0.163919274372265,0.0156233223182867,0.22215685205072,0,0,12
2,"Fp2",0,0,0.191954489297695,0.336779189168071,0.286866096476477,0.171162634663846,0.0132375903939113,0.236279085567489,0,0,13
2,"Fp2",0,0,0.208941227600666,0.363520132396276,0.286637514309483,0.129446577976483,0.0114545477170928,0.270906507380317,0,0,14
2,"Fp2",0,0,0.232295308016885,0.384387771537672,0.27865264937333,0.0948778714961013,0.00978639957601204,0.306668547633577,0,0,15
2,"Fp2",0,0,0.249620116560057,0.4063758750732,0.255649065144626,0.0805903697738965,0.0077645734482203,0.431177568868065,0,0,16
2,"Fp2",0,0,0.224442924361246,0.385601284977356,0.276007095985627,0.104237715864427,0.00971097881134446,0.353986516713788,0,0,17
2,"Fp2",0,0,0.189841465431373,0.335540524172872,0.284504720689338,0.174569876011911,0.0155434136945065,0.197331548403083,0,0,18
2,"Fp2",0,0,0.188216144536325,0.334032155664192,0.28931518823608,0.175019382529374,0.0134171290340286,0.201040384182655,0,0,19
2,"Fp2",0,0,0.248334360737103,0.399679745889157,0.265549414882084,0.0798321995102249,0.00660427898143198,0.529595548427267,0,0,20
2,"Fp2",0,0,0.224702854414778,0.377862496166026,0.285108089642297,0.104002761755163,0.00832379802173544,0.509038918871217,0,0,21
2,"Fp2",0,0,0.200113050010834,0.34731595790356,0.28226712801049,0.159043709352372,0.0112601547227444,0.413071307276823,0,0,22
2,"Fp2",0,0,0.167318576539554,0.304710022176358,0.28074017704158,0.235528882631163,0.0117023416113445,0.313026426236447,0,0,23
2,"Fp2",0,0,0.18984567118436,0.339986591927435,0.293463371546222,0.168226306462171,0.0084780588798115,0.514477351451645,0,0,24
2,"Fp2",0,0,0.225144953909886,0.371809755294366,0.287095802355007,0.106842221426643,0.00910726701409721,0.487760165214947,0,0,25
2,"Fp2",0,0,0.194180070610685,0.333214620923529,0.281422417782019,0.174231585197901,0.0169513054858663,0.182738728096431,0,0,26
2,"Fp2",0,0,0.233468579891445,0.396203195251751,0.281000220497269,0.0758868382004115,0.0134411661591235,0.406359334332867,0,0,27
2,"Fp2",0,0,0.283681932923697,0.458030437171585,0.210752333691227,0.037942941690428,0.00959235452306259,0.555794678314985,0,0,28
2,"Fp2",0,0,0.118723797298434,0.22438140450621,0.234590722695913,0.392492801401922,0.029811274097521,0.103219635733303,0,0,29
2,"Fp2",0,0,0.118519030599104,0.225801893807847,0.241171917616698,0.399094401960766,0.0154127560155849,0.254245983646038,0,0,30
2,"Fp2",0,0,0.205676793598112,0.351469401189937,0.282756892527391,0.15363165904926,0.00646525363530039,0.85981287888738,0,0,31
2,"Fp2",0,0,0.258598059300406,0.421440845170762,0.249470836408161,0.0660345430352726,0.00445571608539859,1.29994712161562,0,0,32
2,"Fp2",0,0,0.32831657417398,0.489958870848854,0.154025008139775,0.0254422166620794,0.00225733017531129,2.33367359382354,0,0,33
2,"Fp2",0,0,0.374402112240794,0.518827636855091,0.0889571436880004,0.0158866540924169,0.0019264531236977,3.73870440975162,0,0,34
2,"Fp2",0,0,0.28176585636401,0.440944941505334,0.224648228799402,0.047045243531001,0.00559572980025275,0.917350880791603,0,0,35
2,"Fp2",0,0,0.247080513555267,0.418781378043563,0.249796620836575,0.0779904124613442,0.00635107510325101,0.547184317514526,0,0,36
2,"Fp2",0,0,0.17285197760371,0.318616859280911,0.287299331286313,0.20820162333506,0.0130302084940059,0.347705818967248,0,0,37
2,"Fp2",0,0,0.163719939686042,0.293733054906046,0.266837455064351,0.266639229893393,0.0090703204501679,0.434220929719484,0,0,38
2,"Fp2",0,0,0.189020512663786,0.332286741617751,0.279688656970138,0.190916425817525,0.00808766293079968,0.470013710242002,0,0,39
2,"Fp2",0,0,0.241154312583318,0.399965909553452,0.26766227336148,0.084784375007574,0.00643312949417613,0.524317646406669,0,0,40
2,"Fp2",0,0,0.172261582260134,0.314495604513808,0.282051742683383,0.215102811693811,0.0160882588488637,0.182574112088666,0,0,41
2,"Fp2",0,0,0.259957792503176,0.406482945883171,0.270816476404306,0.0559557507777216,0.00678703443162601,0.843194951225148,0,0,42
2,"Fp2",0,0,0.253376866474973,0.402799197316967,0.286547172392782,0.0501443571478119,0.00713240666746602,0.648236004577425,0,0,43
2,"Fp2",0,0,0.218588260976985,0.361954467575898,0.282608770831884,0.12043894868337,0.0164095519318632,0.205613379158711,0,0,44
2,"Fp2",0,0,0.187817859001794,0.331495414744763,0.285980929151472,0.16971137763191,0.024994419470061,0.139013213697145,0,0,45
2,"Fp2",0,0,0.260259488104829,0.433206932704121,0.245854012767134,0.052710371612389,0.00796919481152672,0.527015250590389,0,0,46
2,"Fp2",0,0,0.281299099098312,0.439754892465082,0.22766995554685,0.0441409857547345,0.00713506713502131,0.59308599094261,0,0,47
2,"Fp2",0,0,0.178139863754906,0.316212234207207,0.28328596606117,0.201284321157698,0.0210776148190188,0.121286314631421,0,0,48
2,"Fp2",0,0,0.193919423931832,0.342362319045451,0.284294448128126,0.15951431242837,0.0199094964662203,0.133401070292983,0,0,49
2,"Fp2",0,0,0.203847174220323,0.356902295143162,0.288818033069047,0.132124151640334,0.0183083459271335,0.169706467266107,0,0,50
2,"Fp2",0,0,0.198702787977205,0.349473618597003,0.291017677015487,0.150531757612947,0.0102741587973569,0.34923486596115,0,0,51
2,"Fp2",0,0,0.211632021851452,0.367622082862634,0.283874742080981,0.130130742071543,0.00674041113338989,0.594172468667485,0,0,52
2,"Fp2",0,0,0.222621685613121,0.376159336078488,0.280924484243789,0.113743611574569,0.00655088249003355,0.623333113058427,0,0,53
2,"Fp2",0,0,0.271902594346248,0.425058654959963,0.251255878341319,0.0463314354918295,0.00545143686063971,0.706450130825586,0,0,54
2,"Fp2",0,0,0.219886929238365,0.37015219733157,0.295672049694119,0.105562450624059,0.0087263731118868,0.339920432331605,0,0,55
2,"Fp2",0,0,0.186201578185321,0.324507998093113,0.284994685032602,0.188552638334515,0.0157431003544485,0.193963376405002,0,0,56
2,"Fp2",0,0,0.252802457350681,0.411044884618893,0.257646118190795,0.0698786014738653,0.00862793836576588,0.542816218203051,0,0,57
2,"Fp2",0,0,0.252654785344991,0.405452624651034,0.26595400761142,0.0685471054286999,0.00739147696385502,0.757299843908068,0,0,58
2,"Fp2",0,0,0.17917259951033,0.319056068083656,0.278357451052463,0.209602182941115,0.0138116984124355,0.269780167419675,0,0,59
2,"Fp2",0,0,0.264156182833863,0.410162659964321,0.273034970716968,0.04826075021895,0.00438543626589735,1.06372645782159,0,0,60
2,"Fp2",0,0,0.308648893583795,0.464047542465566,0.199779848531242,0.0246239080156621,0.00289980740373515,2.30234104771112,0,0,61
2,"Fp2",0,0,0.222986771678333,0.383811843880504,0.282773503682217,0.103107771793125,0.0073201089658203,0.792098170837473,0,0,62
2,"Fp2",0,0,0.235536912031924,0.398488092556362,0.273911354468725,0.0856508306140703,0.00641281032891857,0.94267465009318,0,0,63
2,"Fp2",0,0,0.228974654638475,0.388087830360606,0.279241355301631,0.0951742126264313,0.0085219470728574,0.460458681358998,0,0,64
2,"Fp2",0,0,0.159848781527998,0.285993828397325,0.26266551917499,0.274663242394137,0.0168286285055492,0.1766504418186,0,0,65
2,"Fp2",0,0,0.225144064361413,0.382824673045803,0.279455658045551,0.107115236130026,0.00546036841720615,0.712483048844722,0,0,66
2,"Fp2",0,0,0.28742242297432,0.449131716423457,0.21626528549088,0.0441558100014083,0.00302476510993434,1.10094772961655,0,0,67
2,"Fp2",0,0,0.242493547959101,0.394224723653237,0.26928977919669,0.0828743515865605,0.0111175976044116,0.260399915789042,0,0,68
2,"Fp2",0,0,0.263777087109204,0.410871787833949,0.252156191811314,0.0581129811947276,0.0150819520508054,0.235359875099336,0,0,69
2,"Fp2",0,0,0.188698446740759,0.33843126781562,0.288604338322513,0.164148270830062,0.0201176762910462,0.134358330346347,0,0,70
2,"Fp2",0,0,0.164221719824504,0.296560355545139,0.270364037717666,0.241081622507951,0.0277722644047394,0.101574250997816,0,0,71
2,"Fp2",0,0,0.162714300403993,0.291179734049349,0.266158982700876,0.242079245704654,0.0378677371411283,0.0970955205576749,0,0,72
2,"Fp2",0,0,0.204110207573511,0.346474179776434,0.280810960277066,0.147151209894498,0.0214534424784913,0.202621802720181,0,0,73
2,"Fp2",0,0,0.231150822074177,0.393909180861205,0.274559220278409,0.091406573781674,0.00897420300453619,0.441343042702253,0,0,74
2,"Fp2",0,0,0.217179879854516,0.373680697039176,0.283263333601054,0.116270475130737,0.00960561437451642,0.450428548765234,0,0,75
2,"Fp2",0,0,0.240023352218144,0.393555152909256,0.277729367131001,0.0810125404734439,0.00767958726815571,0.548755316278209,0,0,76
2,"Fp2",0,0,0.178090941954197,0.323086852264903,0.28592261482471,0.198055298129067,0.0148442928271231,0.206721507711596,0,0,77
2,"Fp2",0,0,0.175006226040781,0.313691013477268,0.281224028297986,0.217390114896255,0.01268861728771,0.409655334091298,0,0,78
2,"Fp2",0,0,0.23856495084423,0.390074555746148,0.279669458494888,0.088149385629576,0.00354164928515762,1.6184251971996,0,0,79
2,"Fp2",0,0,0.292819849627007,0.446105392750995,0.227162535804053,0.0312731000528844,0.00263912176506115,2.10625128294864,0,0,80
2,"Fp2",0,0,0.242161619877516,0.391257009641832,0.284040064538081,0.0725090639906585,0.0100322419519128,0.454699161809752,0,0,81
2,"Fp2",0,0,0.153078238618682,0.278632542038461,0.264625055509742,0.27488892956954,0.0287752342635738,0.083210136361381,0,0,82
2,"Fp2",0,0,0.214865138184665,0.370873839426942,0.283018638984024,0.115050409635823,0.0161919737685458,0.181139059823294,0,0,83
2,"Fp2",0,0,0.262708079065656,0.418252383564185,0.251232108258129,0.0609057747010028,0.00690165441102704,0.546224293018928,0,0,84
2,"Fp2",0,0,0.23858773094829,0.395776994163315,0.28206069453747,0.0749364481029714,0.00863813224795405,0.424433195249185,0,0,85
2,"Fp2",0,0,0.224889249111165,0.382141877726744,0.278777909078623,0.104324403562874,0.00986656052059473,0.3594585256986,0,0,86
2,"Fp2",0,0,0.237667927838647,0.395497122990264,0.26985898409305,0.0908003536606806,0.0061756114173581,0.580584899246891,0,0,87
2,"Fp2",0,0,0.256570524128852,0.423008224752843,0.25412293653994,0.0621744998257471,0.00412381475261759,1.08499026296226,0,0,88
2,"Fp2",0,0,0.276559375227896,0.438085501752698,0.229392595130879,0.0517487188428179,0.00421380904570882,0.936781720464254,0,0,89
2,"Fp2",0,0,0.192383289036868,0.346924989131352,0.287726273245441,0.162368432729418,0.0105970158569215,0.345774564083206,0,0,90
2,"Fp2",0,0,0.134765851531892,0.265315679907116,0.271511078434697,0.313773935383946,0.0146334547423496,0.156483490531307,0,0,91
2,"Fp2",0,0,0.129623652040207,0.256793719210306,0.263738560726191,0.332657674219761,0.0171863938035349,0.120767269345742,0,0,92
2,"Fp2",0,0,0.255388452873482,0.421138864632147,0.256912410750376,0.0615529551051115,0.00500731663888327,0.676687537994665,0,0,93
2,"Fp2",0,0,0.244599829422003,0.407382691697307,0.27641187707437,0.0665895749275641,0.00501602687875623,0.744246209991405,0,0,94
2,"Fp2",0,0,0.237120714387438,0.390909247684795,0.287835677666641,0.0764135946868361,0.00772076557429021,0.484782296351066,0,0,95
2,"Fp2",0,0,0.247145032427174,0.395742718152541,0.273844026093398,0.072591230361972,0.0106769929649153,0.323652783594674,0,0,96
2,"Fp2",0,0,0.314202059483001,0.473771422489167,0.182264640470316,0.025391807052648,0.00437007050486837,1.1800131469879,0,0,97
2,"Fp2",0,0,0.321933219751603,0.478383622209903,0.171958122622666,0.0225026723524847,0.00522236306334386,1.36264368065017,0,0,98
2,"Fp2",0,0,0.219537347572386,0.374817371553066,0.281653273021309,0.110136802102745,0.0138552057504942,0.321224673127955,0,0,99
2,"Fp2",0,0,0.240576420863114,0.392807164640875,0.272637643694171,0.0849947867522305,0.00898398404960941,0.347081109658828,0,0,100
2,"Fp2",0,0,0.179871154641471,0.323104946521541,0.283200645713795,0.198092692342722,0.0157305607804707,0.180887027569192,0,0,101
2,"Fp2",0,0,0.195407442528016,0.334477087246671,0.283305242488248,0.172216502245282,0.0145937254917822,0.208807504833902,0,0,102
2,"Fp2",0,0,0.216120793663122,0.365063376167863,0.298533205643818,0.111465214074243,0.00881741045095372,0.319589546980658,0,0,103
2,"Fp2",0,0,0.236651832145417,0.389428844911353,0.273958064981464,0.0917669730978199,0.00819428486394645,0.48803748983694,0,0,104
2,"Fp2",0,0,0.272538569369007,0.43035596155304,0.243001144505185,0.0481786945895957,0.00592562998317281,0.884553770997377,0,0,105
2,"Fp2",0,0,0.229880432740985,0.380298414572952,0.301459886980616,0.0791387138088274,0.00922255189662052,0.412083683162807,0,0,106
2,"Fp2",0,0,0.159436310921747,0.302386283842656,0.289293587146477,0.224858638532389,0.0240251795567304,0.10829169170444,0,0,107
2,"Fp2",0,0,0.225851911583251,0.371987225340202,0.285004447349649,0.102106208314487,0.0150502074124111,0.239575345166984,0,0,108
2,"Fp2",0,0,0.24557218437918,0.396133789873053,0.285362694947387,0.0653299572948086,0.00760137350557153,0.537782079744293,0,0,109
2,"Fp2",0,0,0.245408371399467,0.392980440469212,0.284091212827828,0.0703592876078692,0.00716068769562359,0.481089303472049,0,0,110
2,"Fp2",0,0,0.240563568465253,0.392214371987287,0.271190498188307,0.0876036793883133,0.00842788197083938,0.398018816794303,0,0,111
2,"Fp2",0,0,0.247773788917904,0.399907226060484,0.263261897230084,0.0820882628055558,0.00696882498597168,0.556598586730897,0,0,112
2,"Fp2",0,0,0.231647904375363,0.382511200615984,0.277100519473679,0.0971493884247399,0.0115909871102344,0.441580218636126,0,0,113
2,"Fp2",0,0,0.235242500629039,0.390056074952869,0.277582921740566,0.0868047589742791,0.0103137437032471,0.394997967443512,0,0,114
2,"Fp2",0,0,0.189793798912939,0.342465611964098,0.290534968850926,0.164114275371638,0.0130913449003987,0.186923708875861,0,0,115
2,"Fp2",0,0,0.138211931072545,0.254817400361969,0.246353775614809,0.336169237904294,0.0244476550463829,0.102581018317426,0,0,116
2,"Fp2",0,0,0.131353115045415,0.242971816226259,0.241878821248671,0.358467008583019,0.0253292388966367,0.122061771032955,0,0,117
2,"Fp2",0,0,0.212275250569925,0.360055078521486,0.285433228085156,0.132798709521191,0.00943773330224126,0.376830529063029,0,0,118
2,"Fp2",0,0,0.25483951202699,0.401134439608023,0.271329540380528,0.0631658281474662,0.00953067983699316,0.356594832070057,0,0,119
2,"Fp2",0,0,0.20050426105232,0.340484333688082,0.305795583420171,0.141550159533518,0.0116656623059094,0.28006358083321,0,0,120
2,"Fp2",0,0,0.201147998891623,0.34547007700493,0.312216747433472,0.131089211858073,0.0100759648119025,0.344433076364381,0,0,121
2,"Fp2",0,0,0.23737860897859,0.387891857888144,0.280167613270997,0.0860851103921641,0.00847680947010533,0.514209606087807,0,0,122
2,"Fp2",0,0,0.217466292477776,0.363575408569312,0.285640132946122,0.124705858709193,0.0086123072975976,0.45716613012739,0,0,123
2,"Fp2",0,0,0.186003698506495,0.330593715416939,0.285451669597603,0.189073368670005,0.00887754780895721,0.355464952768482,0,0,124
2,"Fp2",0,0,0.23963138130821,0.394489807222675,0.277713669717748,0.0840818789653781,0.00408326278598818,0.949295770731694,0,0,125
2,"Fp2",0,0,0.275130705403673,0.425047516810447,0.250219077405595,0.0444930508518265,0.00510964952845943,0.89218312633065,0,0,126
2,"Fp2",0,0,0.191644853338427,0.338203348307857,0.286488819197856,0.163942347030164,0.0197206321256961,0.175642270036206,0,0,127
2,"Fp2",0,0,0.180624404071736,0.324466052910851,0.287578963702235,0.189934011957281,0.0173965673578971,0.189745073326622,0,0,128
2,"Fp2",0,0,0.153133478397038,0.286719456185464,0.27328447520356,0.268533636329634,0.0183289538843045,0.172403654807372,0,0,129
2,"Fp2",0,0,0.160078291682677,0.292263598584254,0.268461531879865,0.260972345020318,0.0182242328328862,0.172206123425429,0,0,130
2,"Fp2",0,0,0.224893487790914,0.3740039629846,0.284558560211146,0.110019012206557,0.00652497680678403,0.478430484788901,0,0,131
2,"Fp2",0,0,0.220847909787085,0.375567897176355,0.28769005240667,0.108972549480373,0.00692159114951634,0.415404520547596,0,0,132
2,"Fp2",0,0,0.137851086998447,0.253101116475703,0.252365075476299,0.337331457020452,0.0193512640290989,0.103007136954981,0,0,133
2,"Fp2",0,0,0.189110851718496,0.33570766862892,0.283055690111476,0.186597978542525,0.00552781099858234,0.401471240066,0,0,134
2,"Fp2",0,0,0.221501767975182,0.376918981386586,0.289481285498027,0.105703551767541,0.0063944133726647,0.516479292314231,0,0,135
2,"Fp2",0,0,0.293748070425274,0.442274859602765,0.225834147714459,0.0311480388920344,0.00699488336546773,0.739325280260305,0,0,136
2,"Fp2",0,0,0.171914255300239,0.300644585176505,0.26072362577968,0.259225081339802,0.00749245240377342,0.513276790994695,0,0,137
2,"Fp2",0,0,0.17877133765285,0.316669987096304,0.267560064320303,0.232088300537763,0.00491031039278022,0.863977768418374,0,0,138
2,"Fp2",0,0,0.293074943857636,0.451329750141095,0.21863217561528,0.033808325181635,0.00315480520435425,1.85654547762464,0,0,139
2,"Fp2",0,0,0.348886800706096,0.499422170268341,0.128733000755994,0.0178094354947042,0.00514859277486493,1.75760894767886,0,0,140
2,"Fp2",0,0,0.281268424715276,0.445126303765976,0.219359867306903,0.0464788831801896,0.00776652103165642,0.596496473614936,0,0,141
2,"Fp2",0,0,0.20140413992605,0.33852908061196,0.279995769297391,0.16621623120218,0.0138547789624195,0.193424558113707,0,0,142
2,"Fp2",0,0,0.193372253409765,0.337766786591308,0.28240621703266,0.176570321389458,0.00988442157680899,0.292375163027,0,0,143
2,"Fp2",0,0,0.194875208363817,0.335116271623506,0.28298459296059,0.174424421185116,0.012599505866971,0.286039973014085,0,0,144
2,"Fp2",0,0,0.150232750676042,0.273466330545558,0.261225683178829,0.29241545728335,0.022659778316222,0.160112348699113,0,0,145
2,"Fp2",0,0,0.181269060446872,0.324484105089787,0.28201409654797,0.201307541561502,0.0109251963538691,0.402695974569212,0,0,146
2,"Fp2",0,0,0.254075415785476,0.405707477189701,0.26823679906821,0.0678691392283078,0.00411116872830554,1.39983539731289,0,0,147
2,"Fp2",0,0,0.276288427569201,0.443102493904424,0.230858187462429,0.0456879795620724,0.00406291150187273,1.36493493730282,0,0,148
2,"Fp2",0,0,0.307961084053774,0.475257528283023,0.172988579903188,0.0389559600084855,0.00483684775153021,0.765123880328141,0,0,149
2,"Fp2",0,0,0.210532933129562,0.358740914843526,0.285062274232932,0.13088545913011,0.0147784186638693,0.201581493082526,0,0,150
2,"Fp2",0,0,0.189747590571477,0.328852352504606,0.284348637921043,0.180735379393383,0.0163160396094907,0.217865312059728,0,0,151
2,"Fp2",0,0,0.228844378492501,0.379561996455486,0.290464755020849,0.0930399571863287,0.0080889128448352,0.603021575490939,0,0,152
2,"Fp2",0,0,0.242901717019977,0.39187121082834,0.278458184963571,0.0799562735643768,0.00681261362373484,0.638843081218262,0,0,153
2,"Fp2",0,0,0.281392160568618,0.436157066719283,0.243025959923451,0.0363557094560117,0.00306910333263681,1.41124206099494,0,0,154
2,"Fp2",0,0,0.283043507934892,0.436494335649353,0.238434758865628,0.0394086121946418,0.00261878535548462,1.54790119243475,0,0,155
2,"Fp2",0,0,0.173160799422827,0.309306983430958,0.279495503968683,0.219095613086583,0.0189411000909488,0.166377730552824,0,0,156
2,"Fp2",0,0,0.183547924806604,0.322715286357791,0.278640948451974,0.194561651847511,0.0205341885361203,0.166891521376765,0,0,157
2,"Fp2",0,0,0.286247631772304,0.448760948426317,0.223171570525512,0.0378997972615378,0.00392005201433039,1.12948418485443,0,0,158
2,"Fp2",0,0,0.257502465095562,0.413349449735032,0.270210509037449,0.0551647887138243,0.00377278741813202,0.846434170603216,0,0,159
2,"Fp2",0,0,0.212717776928879,0.364086185268082,0.287194237664729,0.124892111693802,0.0111096884445082,0.273031256326857,0,0,160
2,"Fp2",0,0,0.207381207743587,0.356895376995121,0.284057685639403,0.142215316982709,0.00945041263918081,0.370820296513098,0,0,161
2,"Fp2",0,0,0.212894468487447,0.365732373811932,0.286611553698803,0.128082942277515,0.00667866172430228,0.532339638119648,0,0,162
2,"Fp2",0,0,0.2447149824031,0.398187197223176,0.275319893661992,0.0760969948402329,0.00568093187149981,0.762095600539064,0,0,163
2,"Fp2",0,0,0.263406080652758,0.408608580654012,0.256670623096445,0.0654116596072204,0.00590305598956475,1.07245450099165,0,0,164
2,"Fp2",0,0,0.277964213275612,0.425534545408697,0.244500888255309,0.0449301349859535,0.00707021807442832,0.907601968266436,0,0,165
2,"Fp2",0,0,0.322178666423209,0.464500859639318,0.18536810426398,0.0234053330604861,0.00454703661300728,1.20631831089219,0,0,166
2,"Fp2",0,0,0.297816228076094,0.457408834846605,0.202196185910269,0.0364907379870525,0.00608801317997922,0.949850418534128,0,0,167
2,"Fp2",0,0,0.393064127215303,0.500061290504973,0.0877337585543731,0.0146928891006287,0.00444793462472265,2.15201244980704,0,0,168
2,"Fp2",0,0,0.220956308159306,0.375273355776915,0.280732311890771,0.115802802616366,0.00723522155664154,1.00716821842611,0,0,169
2,"Fp2",0,0,0.227825534886735,0.382254244005399,0.279751430615481,0.104502780467579,0.00566601002480723,1.36984119809345,0,0,170
2,"Fp2",0,0,0.258289615901314,0.415743267855717,0.257336745104428,0.062704203084517,0.00592616805402424,0.878945333483139,0,0,171
2,"Fp2",0,0,0.242575725107759,0.398298411003783,0.271802655922597,0.0831619243990197,0.00416128356684097,0.917695740003784,0,0,172
2,"Fp2",0,0,0.293269920111345,0.45594837161631,0.20260748715572,0.045131534187097,0.00304268692952847,1.4261689150961,0,0,173
2,"Fp2",0,0,0.277644698317053,0.44268711380111,0.2322662341043,0.040388531430324,0.00701342234721381,0.737590276973746,0,0,174
2,"Fp2",0,0,0.204880541945944,0.354519242735386,0.283099233300513,0.143991879250362,0.0135091027677964,0.271139180482077,0,0,175
2,"Fp2",0,0,0.207981234189109,0.358798605756269,0.282469879591918,0.139435546441352,0.0113147340213524,0.309226434760806,0,0,176
2,"Fp2",0,0,0.237304613047403,0.393096854428609,0.274994950500954,0.0840490339587194,0.0105545480643149,0.402048083353042,0,0,177
2,"Fp2",0,0,0.222631772157231,0.382418196495971,0.280498087227176,0.103712818717663,0.010739125401959,0.298230542949635,0,0,178
2,"Fp2",0,0,0.221893071321662,0.379559547837971,0.278459192456232,0.113043566809911,0.00704462157422337,0.447108919573412,0,0,179
2,"Fp2",0,0,0.224607714298737,0.376508080002805,0.280053198997754,0.111488691876382,0.00734231482432296,0.518075692801649,0,0,180
2,"Fp2",0,0,0.230640070851351,0.387602993653583,0.28059570587572,0.0884508016612513,0.0127104279580948,0.382992812367508,0,0,181
2,"Fp2",0,0,0.253734535310138,0.408959832834216,0.2731976332596,0.0549600733353719,0.00914792526067397,0.43482142742004,0,0,182
2,"Fp2",0,0,0.217541521703029,0.362304602058195,0.309473396270425,0.100636401356167,0.0100440786121828,0.420312828542367,0,0,183
2,"Fp2",0,0,0.31423776011821,0.471720480805437,0.187233252551093,0.0212131631597477,0.00559534336551197,1.04363689439158,0,0,184
2,"Fp2",0,0,0.334626280825849,0.49980191688049,0.139535999463152,0.0216445599851199,0.00439124284538834,1.0893245125021,0,0,185
2,"Fp2",0,0,0.240970937221821,0.396471172608238,0.268933553584455,0.0842761422123466,0.0093481943731402,0.381780804487562,0,0,186
2,"Fp2",0,0,0.244631204149724,0.40315363918812,0.270245229279587,0.0726576741102632,0.00931225327230477,0.438695101474429,0,0,187
2,"Fp2",0,0,0.186562885130624,0.334703852801296,0.286232660155508,0.17520940119171,0.0172912007208629,0.200901916755549,0,0,188
2,"Fp2",0,0,0.26377640022426,0.429449024945179,0.244010478493052,0.0567676954467525,0.00599640089075713,0.679566300730272,0,0,189
2,"Fp2",0,0,0.328962888427774,0.492203423705788,0.152724110399925,0.0235503637793939,0.00255921368711964,1.63483039937904,0,0,190
2,"Fp2",0,0,0.267851590386732,0.440294422054039,0.234017510748415,0.0533883242264174,0.00444815258439674,0.586549870223219,0,0,191
2,"Fp2",0,0,0.225561138150131,0.385635695072811,0.285492770509791,0.0957368383934672,0.00757355787380006,0.303256399067072,0,0,192
2,"Fp2",0,0,0.223500098215798,0.380225657481744,0.28497797106626,0.103190145891539,0.00810612734465934,0.30039301031978,0,0,193
2,"Fp2",0,0,0.217594870849117,0.361474641460619,0.283620486542764,0.126517505693702,0.0107924954537981,0.957402093410552,0,0,194
2,"Fp2",0,0,0.227791468895724,0.376400398780742,0.282562342060812,0.106684110362799,0.00656167989992323,1.64906283065127,0,0,195
2,"Fp2",0,0,0.222690048747107,0.37563244416655,0.280729121962061,0.115943552986606,0.00500483213767634,0.875488067547229,0,0,196
2,"Fp2",0,0,0.208303136413048,0.360556528495821,0.281380095948156,0.142793479744508,0.0069667593984666,0.448460199431698,0,0,197
2,"Fp2",0,0,0.245411567167429,0.398818839296226,0.270342648096761,0.0814109901889105,0.00401595525067229,1.25021516048496,0,0,198
2,"Fp2",0,0,0.235893531315675,0.391162870008285,0.280777989392957,0.0866438921005676,0.00552171718251586,0.932235123572283,0,0,199
2,"Fp2",0,0,0.196780587017908,0.343462412964545,0.285283000498182,0.162399503137769,0.012074496381596,0.263509971476276,0,0,200
2,"Fp2",0,0,0.185013883602619,0.32583039714597,0.28175365865773,0.199410623982544,0.0079914366111372,0.417266410999287,0,0,201
2,"Fp2",0,0,0.176495578112172,0.314611297977837,0.277146295121271,0.219111415548477,0.0126354132402429,0.320531174137072,0,0,202
