"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",2,0.143380320660672,0.251626157048963,0.220696367895172,0.288801111931348,0.095496042463845,0.230004492901324,0,1
"Fp1",2,0.147525834717163,0.256506648355481,0.222484789564683,0.282089989883048,0.0913927374796253,0.295035990450802,0,1
"F8",2,0.146100235228168,0.254696079495566,0.218033400907138,0.286658194907539,0.0945120894615882,0.160529515830652,0,1
"F7",2,0.141849596227131,0.250867626778306,0.22546939739569,0.297614024247361,0.0841993553515118,0.156757144280141,0,1
"F4",2,0.126732340545073,0.230703914180286,0.22312716511079,0.315701794922507,0.103734785241345,0.147426733211523,0,1
"F3",2,0.127012638893595,0.230084740583312,0.220509037092299,0.317858477601056,0.104535105829737,0.152598651643065,0,1
"T4",2,0.112130311633376,0.207608271304509,0.211190127450947,0.349044578895111,0.120026710716058,0.032997770278341,0,1
"T3",2,0.122217222407944,0.225174219112661,0.223672532989836,0.338030478146127,0.0909055473434328,0.0670633044483731,0,1
"C4",2,0.114899315279079,0.210146316202671,0.207922913190239,0.330854474637889,0.136176980690122,0.136219272884747,0,1
"C3",2,0.118426333279928,0.217434163443678,0.215800568593785,0.329605232415762,0.118733702266847,0.152642771646728,0,1
"T6",2,0.114860741212628,0.214445461008253,0.219781179980713,0.354617397853117,0.0962952199452897,0.0449159961710187,0,1
"T5",2,0.117927185857078,0.219977528215706,0.223622086425642,0.3504615008189,0.0880116986826742,0.0705442107899103,0,1
"P4",2,0.112716361839073,0.208113363296586,0.209658007491662,0.339209386301869,0.130302881070811,0.121303615529718,0,1
"P3",2,0.109699519395219,0.204439435951437,0.209159728727987,0.34934813015358,0.127353185771777,0.113380522021659,0,1
"O2",2,0.124690397666639,0.231607304643517,0.232840112003765,0.336405114384508,0.0744570713015721,0.0937378880781589,0,1
"O1",2,0.11791651209231,0.219850293140816,0.223031838359212,0.346582143435264,0.0926192129723984,0.107585287495514,0,1
"FZ",2,0.126926769307262,0.231921103530577,0.225904330354049,0.318975956633556,0.0962718401745558,0.197308062404068,0,1
"CZ",2,0.126374854832088,0.230431356976721,0.223238326159631,0.313422987659323,0.106532474372237,0.218467990007669,0,1
"PZ",2,0.119130161829627,0.219317567801493,0.217962774997199,0.327185509838532,0.116403985533149,0.151110521658398,0,1
"LOG",2,0.195419297921971,0.318029286484803,0.227815653359043,0.21870691618451,0.0400288460496732,1.25421280328263,0,1
"ROG",2,0.187989968484263,0.303855315892605,0.216576706838101,0.23349106429931,0.0580869444857212,1.41786057756479,0,1
"EMG",2,0.0219480900318393,0.0438605810097441,0.0546483329675651,0.19363899832004,0.685903997670811,1.02098347731119e-05,0,1
"Fp2",2,0.229817985856673,0.377340302468106,0.254181996488686,0.124661719087341,0.0139979960991937,0.722021839620932,0,0
"Fp1",2,0.223079221592609,0.369700836009806,0.25802132644331,0.133223358540744,0.0159752574135309,0.667190462125344,0,0
"F8",2,0.215127403041942,0.359724681753081,0.262924350513223,0.1469896565951,0.0152339080966539,0.428364619336478,0,0
"F7",2,0.216227680454523,0.362971821489631,0.264250648930402,0.142050290078018,0.014499559047425,0.458325607103726,0,0
"F4",2,0.194875132266209,0.335789811547342,0.272927822587643,0.177897267444939,0.0185099661538672,0.689254668777753,0,0
"F3",2,0.193000737164605,0.333246584370772,0.273449792135153,0.180831016889886,0.0194718694395848,0.60396835052376,0,0
"T4",2,0.192421631403539,0.332467055395322,0.271127230294853,0.183349800045421,0.0206342828608649,0.205695732518364,0,0
"T3",2,0.195418948015926,0.336766132593606,0.272055543242865,0.178277711577242,0.0174816645703617,0.338749747169738,0,0
"C4",2,0.185536677489749,0.322058606696685,0.270161340315351,0.196101533607873,0.0261418418903422,0.691874921981882,0,0
"C3",2,0.185261280944996,0.322630728227394,0.273113974436114,0.195013888607298,0.0239801277841977,0.768042241269651,0,0
"T6",2,0.188412828900759,0.32742036125324,0.268069783499168,0.195188703692119,0.0209083226547136,0.267141781793973,0,0
"T5",2,0.184214627244557,0.323081058305483,0.275171578359221,0.197487718613502,0.0200450174772374,0.3143908010376,0,0
"P4",2,0.185676993798953,0.322276465630212,0.268896690862213,0.197342853003023,0.0258069967055986,0.696304785557082,0,0
"P3",2,0.181957607830828,0.317919929583463,0.271483534839073,0.202906665005859,0.0257322627407772,0.630597295800876,0,0
"O2",2,0.18488768041178,0.324366059262908,0.273024181689651,0.198791743220454,0.0189303354152073,0.445350927997883,0,0
"O1",2,0.182369977179921,0.320629326611328,0.273264195661804,0.203101610369613,0.0206348901773342,0.563083905772406,0,0
"FZ",2,0.193975464632447,0.334794671362589,0.274088749093909,0.179671949099923,0.0174691658111322,0.943097362492752,0,0
"CZ",2,0.191637037423158,0.330844266953661,0.274380412298949,0.182938906511968,0.0201993768122647,1.10021165404313,0,0
"PZ",2,0.188990986160781,0.327467342922073,0.271218812116776,0.189519952486,0.0228029063143705,0.912709421705196,0,0
"LOG",2,0.237125333201169,0.385410289369174,0.251843236641417,0.117451298834474,0.00816984195376636,0.660487331825149,0,0
"ROG",2,0.237094858382417,0.385292614628543,0.252793126599563,0.115581741675702,0.0092376587137763,0.790515376720316,0,0
"EMG",2,0.0225443545161204,0.0450422224135355,0.0560511742576619,0.197542627087123,0.678819621725559,1.05840437515736e-05,0,0
