"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",7,0.000374644345848051,0.000663677819182362,0.000577274774305645,0.000651447252118633,0.000201021574953476,0.0617781186546066,1,1
"Fp1",7,NA,NA,NA,NA,NA,NA,1,1
"F8",7,0.000346527345587886,0.000621272372038089,0.000566904789001082,0.000705870974665353,0.000229969789874792,0.0342646345318545,1,1
"F7",7,0.000374576769008334,0.000664207099878785,0.000570359397651727,0.00065824131533316,0.000198054034063118,0.0739366339277739,1,1
"F4",7,0.000336293989157651,0.000616205463758386,0.000583838164259584,0.000726021933924076,0.000207136776478815,0.0616368818097515,1,1
"F3",7,0.000341408994222513,0.000624674618748457,0.00058601560507202,0.00072253791321278,0.000193818995796254,0.0760576462243046,1,1
"T4",7,0.000354831709416993,0.000637017589312892,0.00057665390240693,0.000700177929854197,0.000200083094275905,0.0326204588306865,1,1
"T3",7,0.000302000662289037,0.000553452113972937,0.000537654266548925,0.000814809983269308,0.000262788912032454,0.0223171479641882,1,1
"C4",7,0.00033224463240647,0.0006086476403401,0.000580067239039851,0.000746352559167206,0.000202620402509384,0.0651895741778409,1,1
"C3",7,0.000330869276517524,0.000604974750160263,0.000578650998480237,0.00075870232617482,0.000196488727762043,0.066965979727231,1,1
"T6",7,0.000285570310507897,0.000525613705922445,0.000517203818647251,0.000831561183170367,0.000308607787633238,0.0302069052434231,1,1
"T5",7,0.000306603709495421,0.000562426114958073,0.000546455169553185,0.000803375477278121,0.000249302068176353,0.0284221357497101,1,1
"P4",7,0.000318969413633348,0.000584275308947539,0.000563011620467259,0.000786754633630322,0.000215771480093749,0.0594433941381107,1,1
"P3",7,0.00031567596970148,0.000577239169893825,0.000556527408923674,0.000782010930895102,0.000236095824146609,0.0494163078833439,1,1
"O2",7,0.000299816840583959,0.000553641188703959,0.000545215979527459,0.000833605130824041,0.000236060430718958,0.0488345134088144,1,1
"O1",7,0.000293609092335635,0.000540554217118778,0.000529792663604918,0.000822256053330524,0.000281093601664902,0.0469259934343912,1,1
"FZ",7,0.000331254513813171,0.000611881435658541,0.000587106523672801,0.000746311355979345,0.000191306023983683,0.076827651330698,1,1
"CZ",7,0.000335905671390526,0.000616651771115746,0.000590076993629711,0.00074767414348741,0.000177162024184552,0.0913669210687667,1,1
"PZ",7,0.000333223661154048,0.000607862965945964,0.00057909266568409,0.000756975587996284,0.000191044456898545,0.0835339266854842,1,1
"LOG",7,0.000496733022773022,0.000824734226751576,0.000536145971426177,0.000459667902537823,9.96093540643841e-05,0.603125750128003,1,1
