"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",8,0.168145158446969,0.284594768362868,0.222160949126963,0.244319770723988,0.0807793533392126,0.653459341675419,1,1
"Fp1",8,0.17277166218031,0.292966024683422,0.230592052361425,0.227719163616469,0.0759510971583739,0.434935620155927,1,1
"F8",8,0.150960868472315,0.260227788486802,0.214797307178505,0.276066360832984,0.0979476750293938,0.357933447626655,1,1
"F7",8,0.156521624789701,0.27098924760701,0.228007212583884,0.262033312654349,0.0824486023650556,0.195312585186699,1,1
"F4",8,0.134647105139131,0.24193278186488,0.225166785777123,0.293450313998749,0.104803013220116,0.164801706617189,1,1
"F3",8,0.132834969913118,0.239810964630717,0.226175894590335,0.29569982955349,0.10547834131234,0.150177497655772,1,1
"T4",8,0.120763759144895,0.217267158961191,0.207133054534563,0.337186105923473,0.117649921435877,0.0610008834226631,1,1
"T3",8,0.121819533210175,0.221902895668122,0.215474296156461,0.333726708688403,0.107076566276838,0.0563688221789771,1,1
"C4",8,0.144519012135462,0.256009912231861,0.230791995492702,0.281404673532725,0.0872744066072508,0.21150688886104,1,1
"C3",8,0.154938144224474,0.278615296883692,0.25701722397317,0.271616040053855,0.037813294864809,0.422536743311518,1,1
"T6",8,0.104291972822765,0.195572322475654,0.204021102723293,0.367716681267095,0.128397920711193,0.0289900857869607,1,1
"T5",8,0.0980485919923307,0.18347125092803,0.193324972113171,0.383160550750562,0.141994634215906,0.158413867935038,1,1
"P4",8,0.117193875570986,0.214966903336412,0.214059911203609,0.340460453399655,0.113318856489338,0.085234666352457,1,1
"P3",8,0.114370263791513,0.210052717061136,0.209489647120292,0.348097526782762,0.117989845244296,0.126046305357888,1,1
"O2",8,0.116427741072362,0.216345969536695,0.219945006115186,0.346699365533937,0.10058191774182,0.0488521943458472,1,1
"O1",8,0.109737587443896,0.205941713767745,0.213636198634311,0.362475728084565,0.108208772069483,0.0499818706700508,1,1
"FZ",8,0.133515378595749,0.241422846416408,0.227713782130171,0.295645870928786,0.101702121928886,0.149035511490081,1,1
"CZ",8,0.133170768048163,0.241376587706288,0.230531964220988,0.302106345256284,0.0928143347682779,0.155873912127819,1,1
"PZ",8,0.125674706600607,0.229062871714646,0.223415883926787,0.322416200449712,0.0994303373082477,0.104825867660866,1,1
"LOG",8,0.232821603377835,0.358910109527429,0.206356520761789,0.167276271676364,0.0346354946565825,5.99552680531694,1,1
"ROG",8,0.229779673156578,0.361842483717649,0.220488589091874,0.154906717895611,0.0329825361382877,1.92872168955056,1,1
"EMG",8,0.229779673156578,0.361842483717649,0.220488589091874,0.154906717895611,0.0329825361382877,1.92872168955056,1,1
"Fp2",8,0.144113130313375,0.254342680393524,0.23009302281751,0.288052369241502,0.0833987972340891,0.243477564455753,1,0
"Fp1",8,0.143600817348732,0.254807810877601,0.233110004566027,0.288166485068741,0.0803148821388989,0.235921604273496,1,0
"F8",8,0.123558804456658,0.226825506499333,0.225351586159994,0.33066099798356,0.0936031049004551,0.0943113430600338,1,0
"F7",8,0.12597462388349,0.231770326457699,0.230909375149962,0.325584205907919,0.0857614686009298,0.0996412755084633,1,0
"F4",8,0.126239021277025,0.231404200672263,0.228180200440998,0.322727316574581,0.0914492610351327,0.207455274266294,1,0
"F3",8,0.126033508428756,0.231606877893368,0.229544036611875,0.324842789194029,0.0879727878719719,0.200898164656619,1,0
"T4",8,0.114396768288614,0.213294634815097,0.21798712974959,0.356898894298839,0.0974225728478609,0.0674651155450136,1,0
"T3",8,0.107252458274985,0.203352441999271,0.215172337945433,0.373765895269166,0.100456866511147,0.0467584822658818,1,0
"C4",8,0.130196028766528,0.23725933019626,0.231273423004768,0.317828444948872,0.0834427730835721,0.198636167405008,1,0
"C3",8,0.149272089065503,0.269434033045438,0.252688365006511,0.283314691763746,0.0452908211188021,0.321736652810627,1,0
"T6",8,0.12154401222932,0.225065499841807,0.226430412474118,0.343530525595821,0.0834295498589346,0.074881315372702,1,0
"T5",8,0.10979081434935,0.207297037867259,0.216185627982816,0.370440959527192,0.0962855602733825,0.0944906860636787,1,0
"P4",8,0.122018635183871,0.223984713221298,0.221067384164955,0.342599986207151,0.0903292812227238,0.183951219994533,1,0
"P3",8,0.121797396315103,0.22457402486281,0.223500432564495,0.342489904387981,0.0876382418696105,0.158254435596946,1,0
"O2",8,0.135830976491788,0.247193576593366,0.236647161851127,0.314627021913133,0.0657012631505855,0.127337014253957,1,0
"O1",8,0.129991524235533,0.238234181555014,0.231867130883795,0.328772387834067,0.0711347754915913,0.127848511404992,1,0
"FZ",8,0.128316592930197,0.234966700791611,0.23142361851036,0.319269736634198,0.0860233511336337,0.219381385122065,1,0
"CZ",8,0.127484627532575,0.233705142253385,0.23003874240383,0.325110750898102,0.0836607369121083,0.215048915626928,1,0
"PZ",8,0.127058577337599,0.232977474908612,0.228630475605105,0.331300949239882,0.0800325229088019,0.185410313374865,1,0
"LOG",8,0.16092741837797,0.282341383131122,0.246359064130955,0.261112252300161,0.0492598820597917,0.121020563644642,1,0
"ROG",8,0.14744011534587,0.263793056693167,0.243592884045826,0.286035354191056,0.0591385897240809,0.1236734847045,1,0
"EMG",8,0.14744011534587,0.263793056693167,0.243592884045826,0.286035354191056,0.0591385897240809,0.1236734847045,1,0
