"Canal","Participante","Delta","Theta","Alfa","Beta","Gamma","Varianza","Grupo","Etapa"
"Fp2",8,0.441075561451466,0.782849060250091,0.665403080366517,0.516988838548311,0.139329972041609,0.653459341675419,1,1
"Fp1",8,0.460001666812442,0.811151110269851,0.670457887702797,0.508282471157355,0.138802580605314,0.434935620155927,1,1
"F8",8,0.416671012373719,0.750099869173602,0.671574525435316,0.556538630914114,0.157219670030402,0.357933447626655,1,1
"F7",8,0.427447720351621,0.768401127985446,0.686228787257631,0.558518356473173,0.152176505259548,0.195312585186699,1,1
"F4",8,0.39487108838534,0.716898558485562,0.669650396473734,0.718434731761716,0.20094639742367,0.164801706617189,1,1
"F3",8,0.400996353613965,0.727105341777536,0.674944919552445,0.720827154455465,0.203616973996325,0.150177497655772,1,1
"T4",8,0.371505115803759,0.680267079283848,0.651642566551106,0.761476641053609,0.226087546330618,0.0610008834226631,1,1
"T3",8,0.373067817821136,0.68536368135502,0.65750689594825,0.77410314644838,0.211696659478345,0.0563688221789771,1,1
"C4",8,0.414648707570845,0.745108201757714,0.677105040166877,0.6984924537239,0.189747132993498,0.21150688886104,1,1
"C3",8,0.433009923262228,0.782943446823279,0.716432727062172,0.684177363935439,0.11637974345571,0.422536743311518,1,1
"T6",8,0.345384705603195,0.639804515273025,0.630517136462413,0.826481487260143,0.238632204551078,0.0289900857869607,1,1
"T5",8,0.337391092623879,0.622486327809352,0.608246957309921,0.831965562982778,0.24640250393209,0.158413867935038,1,1
"P4",8,0.373193353107685,0.683300774228267,0.653857138823979,0.789336098951741,0.223503594838807,0.085234666352457,1,1
"P3",8,0.367829248468263,0.671389899294577,0.639840536260384,0.79436467460233,0.227754894738999,0.126046305357888,1,1
"O2",8,0.373062578567788,0.684788141484991,0.660127575563149,0.785963326947176,0.207692604405166,0.0488521943458472,1,1
"O1",8,0.35986963998002,0.664729148630172,0.649089778775447,0.803893114808911,0.215578391628469,0.0499818706700508,1,1
"FZ",8,0.397003956434091,0.721583625170006,0.674030305972232,0.725504908093754,0.19789756197782,0.149035511490081,1,1
"CZ",8,0.400576112881269,0.725704480350639,0.676263800221234,0.738812339442476,0.195910734390806,0.155873912127819,1,1
"PZ",8,0.38693280583205,0.704661206374967,0.666854885002849,0.764222167185252,0.210023226605037,0.104825867660866,1,1
"LOG",8,0.534051546868591,0.91189351069064,0.551559090282182,0.218419885778096,0.0302031847126108,5.99552680531694,1,1
"ROG",8,0.527891768965089,0.910136605194719,0.584583930372608,0.208642833270667,0.0306697203782448,1.92872168955056,1,1
"EMG",8,0.527891768965089,0.910136605194719,0.584583930372608,0.208642833270667,0.0306697203782448,1.92872168955056,1,1
"Fp2",8,0.136789512284337,0.232407680033269,0.169866410098404,0.142843979435868,0.0326127838791914,0.243477564455753,1,0
"Fp1",8,0.136152786569524,0.232754452795347,0.175489726699639,0.140406760844223,0.0293482975791059,0.235921604273496,1,0
"F8",8,0.112409591914103,0.200522114004674,0.179843657153751,0.18681509819036,0.0406582256288434,0.0943113430600338,1,0
"F7",8,0.113642771637171,0.202948806718554,0.185580345935873,0.187042912632423,0.0343778331733537,0.0996412755084633,1,0
"F4",8,0.108776804238744,0.195490226423753,0.181121444394849,0.197976281934509,0.0399996812077269,0.207455274266294,1,0
"F3",8,0.104680628986124,0.188965961538923,0.17918247371729,0.21229355425129,0.0392401440377016,0.200898164656619,1,0
"T4",8,0.10525129306615,0.190711704907019,0.1756385883183,0.205757677540685,0.0423835735545775,0.0674651155450136,1,0
"T3",8,0.0893149466369974,0.167058434349035,0.169376247168459,0.249554046357714,0.0490590880191233,0.0467584822658818,1,0
"C4",8,0.104505807675492,0.187157216445825,0.1763170012913,0.213500858680453,0.0428568508499806,0.198636167405008,1,0
"C3",8,0.110781361114714,0.199370495312534,0.186393822395665,0.198290486572279,0.0295265971361364,0.321736652810627,1,0
"T6",8,0.106754808683716,0.193966058435125,0.180647272973339,0.204155954780682,0.0365952023474284,0.074881315372702,1,0
"T5",8,0.10072736858874,0.184112464805754,0.176015491255446,0.220461987811487,0.0429906921688185,0.0944906860636787,1,0
"P4",8,0.100451971081524,0.181929576910326,0.170420348934093,0.224991125686455,0.0449067316157545,0.183951219994533,1,0
"P3",8,0.101017073809251,0.18357391658103,0.173781747490474,0.222212454959727,0.043286598865299,0.158254435596946,1,0
"O2",8,0.119198158129778,0.211986269513039,0.185904654219712,0.174602937718468,0.0297981309123306,0.127337014253957,1,0
"O1",8,0.117708015006068,0.209428684762986,0.18369441894131,0.177823463733206,0.0314161029560926,0.127848511404992,1,0
"FZ",8,0.109449926668162,0.197238025853356,0.18322306091489,0.19675183511834,0.0367299163039484,0.219381385122065,1,0
"CZ",8,0.0992035667399942,0.180675074060432,0.173542367918119,0.225949026329911,0.0445710789873371,0.215048915626928,1,0
"PZ",8,0.100088999385161,0.181495432071695,0.172731654000674,0.226905070848277,0.043141606225521,0.185410313374865,1,0
"LOG",8,0.132153460224543,0.232081193063011,0.178043691067383,0.14588956814765,0.0214360170658216,0.121020563644642,1,0
"ROG",8,0.13931320392508,0.240577337880009,0.179295336521322,0.131863645972774,0.0207714424182992,0.1236734847045,1,0
"EMG",8,0.13931320392508,0.240577337880009,0.179295336521322,0.131863645972774,0.0207714424182992,0.1236734847045,1,0
