"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion"
1,1,0,0,10,9,0,0,0.9
1,1,0,0,10,9,0,1,0.9
1,2,0,0,10,9,0,0,0.9
1,2,0,0,10,10,0,1,1
1,3,0,0,10,10,0,0,1
1,3,0,0,10,10,0,1,1
1,4,0,0,10,6,0,0,0.6
1,4,0,0,10,6,0,1,0.6
1,5,0,0,10,10,0,0,1
1,5,0,0,10,7,0,1,0.7
1,6,0,0,10,4,0,0,0.4
1,6,0,0,10,9,0,1,0.9
1,7,0,0,10,9,0,0,0.9
1,7,0,0,10,9,0,1,0.9
1,8,0,0,10,9,0,0,0.9
1,8,0,0,10,9,0,1,0.9
1,9,0,0,10,10,0,0,1
1,9,0,0,10,9,0,1,0.9
1,10,0,0,10,9,0,0,0.9
1,10,0,0,10,3,0,1,0.3
1,11,0,0,10,3,0,0,0.3
1,11,0,0,10,9,0,1,0.9
1,12,0,0,10,10,0,0,1
1,12,0,0,10,7,0,1,0.7
1,13,0,0,10,4,0,0,0.4
1,13,0,0,10,7,0,1,0.7
1,14,0,0,10,1,0,0,0.1
1,14,0,0,10,7,0,1,0.7
1,15,0,0,10,4,0,0,0.4
1,15,0,0,10,10,0,1,1
1,16,0,0,10,7,0,0,0.7
1,16,0,0,10,10,0,1,1
1,17,0,0,10,4,0,0,0.4
1,17,0,0,10,4,0,1,0.4
1,18,0,0,10,7,0,0,0.7
1,18,0,0,10,10,0,1,1
1,19,0,0,10,1,0,0,0.1
1,19,0,0,10,4,0,1,0.4
1,20,0,0,10,1,0,0,0.1
1,20,0,0,10,10,0,1,1
1,21,0,0,10,7,0,0,0.7
1,21,0,0,10,1,0,1,0.1
1,22,0,0,10,4,0,0,0.4
1,22,0,0,10,7,0,1,0.7
