& VCR & MJH & JAE & GHA? & MFGR? &&& CLO & RLO & RRU & JGZ &&& FGH & MGG & EMT 
 C3 & 0.237    & 0.149    & 0.030    & 0.160    && 0.144    & 0.086    & 0.068    & 0.205    & 0.202    & 0.048    & 0.131    & 0.085    & 0.042    & 0.233    & 0.142    
 C4 & 0.213    & 0.143    & 0.033    & 0.146    && 0.134    & 0.075    & 0.044    & 0.181    & 0.250    & 0.040    & 0.129    & 0.104    & 0.018    & 0.240    & 0.181    
 CZ & 0.212    & 0.145    & 0.030    & 0.100    && 0.122    & 0.077    & 0.067    & 0.194    & 0.184    & 0.053    & 0.124    & 0.075    & 0.021    & 0.208    & 0.138    
 F3 & 0.213    & 0.148    & 0.037    & 0.136    && 0.134    & 0.073    & 0.070    & 0.234    & 0.210    & 0.058    & 0.143    & 0.092    & 0.279    & 0.166    & 0.091    
 F4 & 0.228    & 0.146    & 0.024    & 0.131    && 0.133    & 0.084    & 0.050    & 0.181    & 0.213    & 0.042    & 0.121    & 0.088    & -      & 0.159    & 0.179    
 F7 & 0.201    & 0.151    & 0.039    & 0.191    && 0.146    & 0.074    & 0.055    & 0.150    & 0.181    & 0.049    & 0.109    & 0.066    & -      & 0.176    & 0.079    
 F8 & 0.199    & 0.136    & 0.019    & 0.146    && 0.125    & 0.076    & 0.050    & 0.129    & 0.229    & 0.041    & 0.112    & 0.087    & -      & 0.148    & 0.181    
 FP1 & 0.207    & 0.083    & 0.018    & 0.100    && 0.102    & 0.078    & 0.042    & -      & 0.189    & 0.037    & 0.067    & 0.083    & 0.995    & 0.196    & 0.142    
 FP2 & 0.198    & 0.091    & 0.027    & 0.106    && 0.105    & 0.070    & 0.041    & 0.133    & 0.069    & 0.037    & 0.070    & 0.044    & -      & 0.169    & 0.110    
 FZ & 0.216    & 0.148    & 0.034    & 0.144    && 0.136    & 0.075    & 0.068    & 0.218    & 0.242    & 0.055    & 0.146    & 0.098    & -      & 0.205    & 0.171    
 O1 & 0.256    & 0.192    & 0.023    & 0.272    && 0.186    & 0.114    & 0.059    & 0.201    & 0.245    & 0.082    & 0.147    & 0.090    & 0.052    & 0.162    & 0.242    
 O2 & 0.211    & 0.182    & 0.023    & 0.224    && 0.160    & 0.093    & 0.039    & 0.182    & 0.186    & 0.090    & 0.124    & 0.072    & 0.057    & 0.186    & 0.209    
 P3 & 0.222    & 0.135    & 0.012    & 0.266    && 0.159    & 0.112    & 0.089    & 0.197    & 0.287    & 0.081    & 0.163    & 0.098    & 0.076    & 0.245    & 0.130    
 P4 & 0.228    & 0.150    & 0.034    & 0.229    && 0.161    & 0.092    & 0.069    & 0.181    & 0.293    & 0.062    & 0.151    & 0.109    & 0.047    & 0.238    & 0.144    
 PZ & 0.198    & 0.145    & 0.019    & 0.199    && 0.140    & 0.085    & 0.070    & 0.224    & 0.298    & 0.050    & 0.160    & 0.120    & 0.039    & 0.205    & 0.128    
 T3 & 0.230    & 0.155    & 0.027    & 0.212    && 0.156    & 0.092    & 0.100    & 0.150    & 0.213    & 0.087    & 0.137    & 0.057    & 0.070    & 0.133    & 0.175    
 T4 & 0.230    & 0.134    & 0.015    & 0.180    && 0.140    & 0.092    & 0.032    & 0.147    & 0.298    & 0.074    & 0.138    & 0.117    & 0.026    & 0.141    & 0.138    
 T5 & 0.277    & 0.161    & -      & 0.248    && 0.172    & 0.124    & 0.096    & 0.183    & 0.277    & 0.052    & 0.152    & 0.099    & 0.050    & 0.241    & 0.215    
 T6 & 0.277    & 0.164    & 0.023    & 0.193    && 0.164    & 0.106    & 0.047    & 0.158    & 0.261    & 0.072    & 0.134    & 0.097    & 0.047    & 0.242    & 0.234    
 LOG & 0.299    & 0.248    & 0.118    & 0.263    && 0.232    & 0.079    & 0.177    & 0.248    & 0.340    & 0.192    & 0.239    & 0.074    & 0.131    & 0.506    & 0.352    
 ROG & 0.299    & 0.227    & 0.091    & 0.307    && 0.231    & 0.100    & 0.155    & 0.240    & 0.293    & 0.192    & 0.220    & 0.060    & 0.175    & 0.527    & 0.413    
 EMG & 0.119    & 0.069    & 0.005    & 0.002    && 0.049    & 0.056    & 0.025    & 0.110    & 0.293    & 0.009    & 0.109    & 0.130    & 0.003    & 0.064    & 0.083    
